municipio,uf,cod_munic,lexml,site_prefeitura,site_camara,sistema_tipo,sistema_proposicao,sistema_legislacao,Apoio Interlegis
Cruzália,SP,13306,,www.cruzalia.sp.gov.br/,,,,,
Cruzeiro,SP,13405,,www.cruzeiro.sp.gov.br/,,,,,
Cunha,SP,13603,,www.cunha.sp.gov.br/,,,,,
Descalvado,SP,13702,,www.descalvado.sp.gov.br/,,,,,
Diadema,SP,13801,,www.diadema.sp.gov.br/,,,,,
Dirce Reis,SP,13850,,www.dircereis.sp.gov.br/,,,,,
Divinolândia,SP,13900,,www.divinolandia.sp.gov.br/,,,,,
Dobrada,SP,14007,,www.dobrada.sp.gov.br/,,,,,
Dois Córregos,SP,14106,,www.doiscorregos.sp.gov.br/,,,,,
Dolcinópolis,SP,14205,,www.dolcinopolis.sp.gov.br/,,,,,
Dourado,SP,14304,,www.dourado.sp.gov.br/,,,,,
Dracena,SP,14403,,www.dracena.sp.gov.br/,,,,,
Duartina,SP,14502,,www.duartina.sp.gov.br/,,,,,
Duas Barras,RJ,1603,,www.duasbarras.rj.gov.br/,,,,,
Dumont,SP,14601,,www.dumont.sp.gov.br/,,,,,
Duque de Caxias,RJ,1702,,www.duquedecaxias.rj.gov.br/,,,,,
Echaporã,SP,14700,,www.echapora.sp.gov.br/,,,,,
Eldorado,SP,14809,,www.eldorado.sp.gov.br/,,,,,
Elias Fausto,SP,14908,,www.eliasfausto.sp.gov.br/,,,,,
Elisiário,SP,14924,,www.elisiario-sp.com.br/,,,,,
Embaúba,SP,14957,,www.embauba.sp.gov.br/,,,,,
Embu das Artes,SP,15004,,www.embu.sp.gov.br/,,,,,
Embu-Guaçu,SP,15103,,www.embuguacu.sp.gov.br/,,,,,
Emilianópolis,SP,15129,,www.emilianopolis.sp.gov.br/,,,,,
Paraguaçu Paulista,SP,35507,,www.eparaguacu.sp.gov.br/,,,,,
Epitaciolândia,AC,252,,www.epitaciolandia.ac.gov.br/,,,,,
Espírito Santo do Turvo,SP,15194,,www.espiritosantodoturvo.sp.gov.br/,,,,,
Piraju,SP,38808,,www.estanciadepiraju.sp.gov.br/,,,,,
Estiva Gerbi,SP,57303,,www.estivagerbi.sp.gov.br/,,,,,
Estrela do Norte,SP,15301,,www.estreladonorte.sp.gov.br/,,,,,
Euclides da Cunha Paulista,SP,15350,,www.euclidesdacunha.sp.gov.br/,,,,,
Fartura,SP,15400,,www.fartura.sp.gov.br/,,,,,
Feijó,AC,302,,www.feijo.ac.gov.br/,,,,,
Fernando Prestes,SP,15608,,www.fernandoprestes.sp.gov.br/,,,,,
Fernão,SP,15657,,www.fernao.sp.gov.br/,,,,,
Ferraz de Vasconcelos,SP,15707,,www.ferrazdevasconcelos.sp.gov.br/,,,,,
Flora Rica,SP,15806,,www.florarica.sp.gov.br/,,,,,
Floreal,SP,15905,,www.floreal.sp.gov.br/,,,,,
Flórida Paulista,SP,16002,,www.floridapaulista.sp.gov.br/,,,,,
Florínia,SP,16101,,www.florinea.sp.gov.br/,,,,,
Franca,SP,16200,,www.franca.sp.gov.br/,,,,,
Francisco Morato,SP,16309,,www.franciscomorato.sp.gov.br/,,,,,
Franco da Rocha,SP,16408,,www.francodarocha.sp.gov.br/,,,,,
Gabriel Monteiro,SP,16507,,www.gabrielmonteiro.sp.gov.br/,,,,,
Gália,SP,16606,,www.galia.sp.gov.br/,,,,,
Gastão Vidigal,SP,16804,,www.gastaovidigal.sp.gov.br/,,,,,
Gavião Peixoto,SP,16853,,www.gaviaopeixoto.sp.gov.br/,,,,,
General Salgado,SP,16903,,www.generalsalgado.sp.gov.br/,,,,,
Getulina,SP,17000,,www.getulina.sp.gov.br/,,,,,
Glicério,SP,17109,,www.glicerio.sp.gov.br/,,,,,
Guaiçara,SP,17208,,www.guaicara.sp.gov.br/,,,,,
Guaimbê,SP,17307,,www.guaimbe.sp.gov.br/,,,,,
Guaíra,SP,17406,,www.guaira.sp.gov.br/,,,,,
Guapiaçu,SP,17505,,www.guapiacu.sp.gov.br/,,,,,
Guapiara,SP,17604,,www.guapiara.sp.gov.br/,,,,,
Guapimirim,RJ,1850,,www.guapimirim.rj.gov.br/,,,,,
Guará,SP,17703,,www.guara.sp.gov.br/,,,,,
Guaraçaí,SP,17802,,www.guaracai.sp.gov.br/,,,,,
Guaraci,SP,17901,,www.guaraci.sp.gov.br/,,,,,
Guarani d'Oeste,SP,18008,,www.guaranidoeste.sp.gov.br/,,,,,
Guarantã,SP,18107,,www.guaranta.sp.gov.br/,,,,,
Guararapes,SP,18206,,www.guararapes.sp.gov.br/,,,,,
Guararema,SP,18305,,www.guararema.sp.gov.br/,,,,,
Guaratinguetá,SP,18404,,www.guaratingueta.sp.gov.br/,,,,,
Guareí,SP,18503,,www.guarei.sp.gov.br/,,,,,
Guariba,SP,18602,,www.guariba.sp.gov.br/,,,,,
Guarujá,SP,18701,,www.guaruja.sp.gov.br/,,,,,
Guarulhos,SP,18800,,www.guarulhos.sp.gov.br/,,,,,
Guatapará,SP,18859,,www.guatapara.sp.gov.br/,,,,,
Guzolândia,SP,18909,,www.guzolandia.sp.gov.br/,,,,,
Herculândia,SP,19006,,www.herculandia.sp.gov.br/,,,,,
Holambra,SP,19055,,www.holambra.sp.gov.br/,,,,,
Hortolândia,SP,19071,,www.hortolandia.sp.gov.br/,,,,,
Iacanga,SP,19105,,www.iacanga.sp.gov.br/,,,,,
Iacri,SP,19204,,www.iacri.sp.gov.br/,,,,,
Iaras,SP,19253,,www.iaras.sp.gov.br/,,,,,
Ibaté,SP,19303,,www.ibate.sp.gov.br/,,,,,
Ibirá,SP,19402,,www.ibira.sp.gov.br/,,,,,
Ibirarema,SP,19501,,www.ibirarema.sp.gov.br/,,,,,
Ibitinga,SP,19600,,www.ibitinga.sp.gov.br/,,,,,
Ibiúna,SP,19709,,www.ibiuna.sp.gov.br/,,,,,
Icém,SP,19808,,www.icem.sp.gov.br/,,,,,
Iepê,SP,19907,,www.iepe.sp.gov.br/,,,,,
Igaraçu do Tietê,SP,20004,,www.igaracudotiete.sp.gov.br/,,,,,
Igarapava,SP,20103,,www.igarapava.sp.gov.br/,,,,,
Igaratá,SP,20202,,www.igarata.sp.gov.br/,,,,,
Iguaba Grande,RJ,1876,,www.iguaba.rj.gov.br/,,,,,
Iguape,SP,20301,,www.iguape.sp.gov.br/,,,,,
Ilhabela,SP,20400,,www.ilhabela.sp.gov.br/,,,,,
Ilha Comprida,SP,20426,,www.ilhacomprida.sp.gov.br/,,,,,
Ilha Solteira,SP,20442,,www.ilhasolteira.sp.gov.br/,,,,,
Indiana,SP,20608,,www.indiana.sp.gov.br/,,,,,
Inúbia Paulista,SP,20806,,www.inubiapaulista.sp.gov.br/,,,,,
Ipaussu,SP,20905,,www.ipaussu.sp.gov.br/,,,,,
Iperó,SP,21002,,www.ipero.sp.gov.br/,,,,,
Ipeúna,SP,21101,,www.ipeuna.sp.gov.br/,,,,,
Ipiguá,SP,21150,,www.ipigua.sp.gov.br/,,,,,
Iporanga,SP,21200,,www.iporanga.sp.gov.br/,,,,,
Ipuã,SP,21309,,www.ipua.sp.gov.br/,,,,,
Iracemápolis,SP,21408,,www.iracemapolis.sp.gov.br/,,,,,
Irapuã,SP,21507,,www.irapua.sp.gov.br/,,,,,
Irapuru,SP,21606,,www.irapuru.sp.gov.br/,,,,,
Itaberá,SP,21705,,www.itabera.sp.gov.br/,,,,,
Itaboraí,RJ,1900,,www.itaborai.rj.gov.br/,,,,,
Itaguaí,RJ,2007,,www.itaguai.rj.gov.br/,,,,,
Itaí,SP,21804,,www.itai.sp.gov.br/,,,,,
Itajobi,SP,21903,,www.itajobi.sp.gov.br/,,,,,
Itaju,SP,22000,,www.itaju.sp.gov.br/,,,,,
Italva,RJ,2056,,www.italva.rj.gov.br/,,,,,
Itanhaém,SP,22109,,www.itanhaem.sp.gov.br/,,,,,
Itaóca,SP,22158,,www.itaoca.sp.gov.br/,,,,,
Itaocara,RJ,2106,,www.itaocara.rj.gov.br/,,,,,
Itapecerica da Serra,SP,22208,,www.itapecerica.sp.gov.br/,,,,,
Itaperuna,RJ,2205,,www.itaperuna.rj.gov.br/,,,,,
Itapetininga,SP,22307,,www.itapetininga.sp.gov.br/,,,,,
Itapeva,SP,22406,,www.itapeva.sp.gov.br/,,,,,
Itapevi,SP,22505,,www.itapevi.sp.gov.br/,,,,,
Itapira,SP,22604,,www.itapira.sp.gov.br/,,,,,
Itapirapuã Paulista,SP,22653,,www.itapirapuapaulista.sp.gov.br/,,,,,
Itaporanga,SP,22802,,www.itaporanga.sp.gov.br/,,,,,
Itapuí,SP,22901,,www.itapui.sp.gov.br/,,,,,
Itapura,SP,23008,,www.itapurasp.com.br/,,,,,
Itaquaquecetuba,SP,23107,,www.itaquaquecetuba.sp.gov.br/,,,,,
Itararé,SP,23206,,www.itarare.sp.gov.br/,,,,,
Itariri,SP,23305,,www.itariri.sp.gov.br/,,,,,
Itatiaia,RJ,2254,,www.itatiaia.rj.gov.br/,,,,,
Itatiba,SP,23404,,www.itatiba.sp.gov.br/,,,,,
Itirapina,SP,23602,,www.itirapina.sp.gov.br/,,,,,
Itirapuã,SP,23701,,www.itirapua.sp.gov.br/,,,,,
Itobi,SP,23800,,www.itobi.sp.gov.br/,,,,,
Itu,SP,23909,,www.itu.sp.gov.br/,,,,,
Ituverava,SP,24105,,www.ituverava.sp.gov.br/,,,,,
Jaborandi,SP,24204,,www.jaborandi.sp.gov.br/,,,,,
Jacareí,SP,24402,,www.jacarei.sp.gov.br/,,,,,
Jaci,SP,24501,,www.jaci.sp.gov.br/,,,,,
Jaguariúna,SP,24709,,www.jaguariuna.sp.gov.br/,,,,,
Jales,SP,24808,,www.jales.sp.gov.br/,,,,,
Jandira,SP,25003,,www.jandira.sp.gov.br/,,,,,
Japeri,RJ,2270,,www.japeri.rj.gov.br/,,,,,
Jardinópolis,SP,25102,,www.jardinopolis.sp.gov.br/,,,,,
Jarinu,SP,25201,,www.jarinu.sp.gov.br/,,,,,
Jaú,SP,25300,,www.jau.sp.gov.br/,,,,,
Jeriquara,SP,25409,,www.jeriquara.sp.gov.br/,,,,,
Joanópolis,SP,25508,,www.joanopolis.sp.gov.br/,,,,,
João Ramalho,SP,25607,,www.joaoramalho.sp.gov.br/,,,,,
Jordão,AC,328,,www.jordao.ac.gov.br/,,,,,
José Bonifácio,SP,25706,,www.josebonifacio.sp.gov.br/,,,,,
Júlio Mesquita,SP,25805,,www.juliomesquita.sp.gov.br/,,,,,
Jumirim,SP,25854,,www.jumirim.sp.gov.br/,,,,,
Junqueirópolis,SP,26001,,www.junqueiropolis.sp.gov.br/,,,,,
Juquiá,SP,26100,,www.juquia.sp.gov.br/,,,,,
Juquitiba,SP,26209,,www.juquitiba.sp.gov.br/,,,,,
Lagoinha,SP,26308,,www.lagoinha.sp.gov.br/,,,,,
Laje do Muriaé,RJ,2304,,www.laje.rj.gov.br/,,,,,
Lavínia,SP,26506,,www.lavinia.sp.gov.br/,,,,,
Lavrinhas,SP,26605,,www.lavrinhas.sp.gov.br/,,,,,
Leme,SP,26704,,www.leme.sp.gov.br/,,,,,
Lençóis Paulista,SP,26803,,www.lencoispaulista.sp.gov.br/,,,,,
Comendador Levy Gasparian,RJ,951,,www.levygasparian.rj.gov.br/,,,,,
Lindóia,SP,27009,,www.lindoia.sp.gov.br/,,,,,
Lins,SP,27108,,www.lins.sp.gov.br/,,,,,
Lorena,SP,27207,,www.lorena.sp.gov.br/,,,,,
Lourdes,SP,27256,,www.lourdes.sp.gov.br/,,,,,
Louveira,SP,27306,,www.louveira.sp.gov.br/,,,,,
Lucélia,SP,27405,,www.lucelia.sp.gov.br/,,,,,
Luís Antônio,SP,27603,,www.luizantonio.sp.gov.br/,,,,,
Luiziânia,SP,27702,,www.luiziania.sp.gov.br/,,,,,
Lupércio,SP,27801,,www.lupercio.sp.gov.br/,,,,,
Lutécia,SP,27900,,www.lutecia.sp.gov.br/,,,,,
Macaé,RJ,2403,,www.macae.rj.gov.br/,,,,,
Macatuba,SP,28007,,www.macatuba.sp.gov.br/,,,,,
Macaubal,SP,28106,,www.macaubal.sp.gov.br/,,,,,
Macedônia,SP,28205,,www.macedonia.sp.gov.br/,,,,,
Magda,SP,28304,,www.magda.sp.gov.br/,,,,,
Magé,RJ,2502,,www.mage.rj.gov.br/,,,,,
Mairinque,SP,28403,,www.mairinque.sp.gov.br/,,,,,
Mairiporã,SP,28502,,www.mairipora.sp.gov.br/,,,,,
Mâncio Lima,AC,336,,www.manciolima.ac.gov.br/,,,,,
Manduri,SP,28601,,www.manduri.sp.gov.br/,,,,,
Manoel Urbano,AC,344,,www.manoelurbano.ac.gov.br/,,,,,
Marabá Paulista,SP,28700,,www.marabapaulista.sp.gov.br/,,,,,
Maracaí,SP,28809,,www.maracai.sp.gov.br/,,,,,
Marapoama,SP,28858,,www.marapoama.sp.gov.br/,,,,,
Maricá,RJ,2700,,www.marica.rj.gov.br/,,,,,
Marília,SP,29005,,www.marilia.sp.gov.br/,,,,,
Mariápolis,SP,28908,,www.marinopolis.sp.gov.br/,,,,,
Marinópolis,SP,29104,,www.marinopolis.sp.gov.br/,,,,,
Martinópolis,SP,29203,,www.martinopolis.sp.gov.br/,,,,,
Matão,SP,29302,,www.matao.sp.gov.br/,,,,,
Mauá,SP,29401,,www.maua.sp.gov.br/,,,,,
Mendonça,SP,29500,,www.mendonca.sp.gov.br/,,,,,
Meridiano,SP,29609,,www.meridiano.sp.gov.br/,,,,,
Mesópolis,SP,29658,,www.mesopolis.sp.gov.br/,,,,,
Mesquita,RJ,2858,,www.mesquita.rj.gov.br/,,,,,
Miguelópolis,SP,29708,,www.miguelopolis.sp.gov.br/,,,,,
Mineiros do Tietê,SP,29807,,www.mineirosdotiete.sp.gov.br/,,,,,
Miracema,RJ,3005,,www.miracema.rj.gov.br/,,,,,
Mira Estrela,SP,30003,,www.miraestrelasp.com.br/,,,,,
Mirandópolis,SP,30102,,www.mirandopolis.sp.gov.br/,,,,,
Mirante do Paranapanema,SP,30201,,www.mirantedoparanapanema.sp.gov.br/,,,,,
Mirassol,SP,30300,,www.mirassol.sp.gov.br/,,,,,
Mirassolândia,SP,30409,,www.mirassolandia.sp.gov.br/,,,,,
Mococa,SP,30508,,www.mococa.sp.gov.br/,,,,,
Mogi Guaçu,SP,30706,,www.mogiguacu.sp.gov.br/,,,,,
Moji Mirim,SP,30805,,www.mogimirim.sp.gov.br/,,,,,
Mombuca,SP,30904,,www.mombuca.sp.gov.br/,,,,,
Monções,SP,31001,,www.moncoes.sp.gov.br/,,,,,
Mongaguá,SP,31100,,www.mongagua.sp.gov.br/,,,,,
Monte Alegre do Sul,SP,31209,,www.montealegredosul.sp.gov.br/,,,,,
Monte Alto,SP,31308,,www.montealto.sp.gov.br/,,,,,
Monte Aprazível,SP,31407,,www.monteaprazivel.sp.gov.br/,,,,,
Monte Azul Paulista,SP,31506,,www.monteazulpaulista.sp.gov.br/,,,,,
Monte Castelo,SP,31605,,www.montecastelo.sp.gov.br/,,,,,
Monteiro Lobato,SP,31704,,www.monteirolobato.sp.gov.br/,,,,,
Monte Mor,SP,31803,,www.montemor.sp.gov.br/,,,,,
Morro Agudo,SP,31902,,www.morroagudo.sp.gov.br/,,,,,
Morungaba,SP,32009,,www.morungaba.sp.gov.br/,,,,,
Motuca,SP,32058,,www.motuca.sp.gov.br/,,,,,
Murutinga do Sul,SP,32108,,www.murutingadosul.sp.gov.br/,,,,,
Nantes,SP,32157,,www.nantes.sp.gov.br/,,,,,
Narandiba,SP,32207,,www.narandiba.sp.gov.br/,,,,,
Natividade,RJ,3104,,www.natividade.rj.gov.br/,,,,,
Natividade da Serra,SP,32306,,www.natividadedaserra.sp.gov.br/,,,,,
Nazaré Paulista,SP,32405,,www.nazarepaulista.sp.gov.br/,,,,,
Neves Paulista,SP,32504,,www.nevespaulista.sp.gov.br/,,,,,
Nhandeara,SP,32603,,www.nhandeara.sp.gov.br/,,,,,
Nilópolis,RJ,3203,,www.nilopolis.rj.gov.br/,,,,,
Nipoã,SP,32702,,www.nipoa.sp.gov.br/,,,,,
Niterói,RJ,3302,,www.niteroi.rj.gov.br/,,,,,
Nova Aliança,SP,32801,,www.novaalianca.sp.gov.br/,,,,,
Nova Campina,SP,32827,,www.novacampina.sp.gov.br/,,,,,
Nova Canaã Paulista,SP,32843,,www.novacanaapaulista.sp.gov.br/,,,,,
Nova Castilho,SP,32868,,www.novacastilho.sp.gov.br/,,,,,
Nova Europa,SP,32900,,www.novaeuropa.sp.gov.br/,,,,,
Nova Granada,SP,33007,,www.novagranada.sp.gov.br/,,,,,
Nova Guataporanga,SP,33106,,www.novaguataporanga.sp.gov.br/,,,,,
Nova Iguaçu,RJ,3500,,www.novaiguacu.rj.gov.br/,,,,,
Novais,SP,33254,,www.novais.sp.gov.br/,,,,,
Nova Luzitânia,SP,33304,,www.novaluzitania.sp.gov.br/,,,,,
Nova Odessa,SP,33403,,www.novaodessa.sp.gov.br/,,,,,
Novo Horizonte,SP,33502,,www.novohorizonte.sp.gov.br/,,,,,
Nuporanga,SP,33601,,www.nuporanga.sp.gov.br/,,,,,
Ocauçu,SP,33700,,www.ocaucu.sp.gov.br/,,,,,
Olímpia,SP,33908,,www.olimpia.sp.gov.br/,,,,,
Onda Verde,SP,34005,,www.ondaverde.sp.gov.br/,,,,,
Oriente,SP,34104,,www.oriente.sp.gov.br/,,,,,
Orindiúva,SP,34203,,www.orindiuva.sp.gov.br/,,,,,
Orlândia,SP,34302,,www.orlandia.sp.gov.br/,,,,,
Oscar Bressane,SP,34500,,www.oscarbressane.sp.gov.br/,,,,,
Osvaldo Cruz,SP,34609,,www.osvaldocruz.sp.gov.br/,,,,,
Ourinhos,SP,34708,,www.ourinhos.sp.gov.br/,,,,,
Ouroeste,SP,34757,,www.ouroeste.sp.gov.br/,,,,,
Ouro Verde,SP,34807,,www.ouroverde.sp.gov.br/,,,,,
Pacaembu,SP,34906,,www.pacaembu.sp.gov.br/,,,,,
Palestina,SP,35002,,www.palestina.sp.gov.br/,,,,,
Palmares Paulista,SP,35101,,www.palmarespaulista.sp.gov.br/,,,,,
Palmeira d'Oeste,SP,35200,,www.palmeiradoeste.sp.gov.br/,,,,,
Palmital,SP,35309,,www.palmital.sp.gov.br/,,,,,
Panorama,SP,35408,,www.panorama.sp.gov.br/,,,,,
Paracambi,RJ,3609,,www.paracambi.rj.gov.br/,,,,,
Paraíba do Sul,RJ,3708,,www.paraibanet.com.br/,,,,,
Paraibuna,SP,35606,,www.paraibuna.sp.gov.br/,,,,,
Paraíso,SP,35705,,www.paraiso.sp.gov.br/,,,,,
Paranapanema,SP,35804,,www.paranapanema.sp.gov.br/,,,,,
Paranapuã,SP,35903,,www.paranapua.sp.gov.br/,,,,,
Parapuã,SP,36000,,www.parapua.sp.gov.br/,,,,,
Pardinho,SP,36109,,www.pardinho.sp.gov.br/,,,,,
Pariquera-Açu,SP,36208,,www.pariqueraacu.sp.gov.br/,,,,,
Parisi,SP,36257,,www.parisi.sp.gov.br/,,,,,
Patrocínio Paulista,SP,36307,,www.patrociniopaulista.sp.gov.br/,,,,,
Paty do Alferes,RJ,3856,,www.patydoalferes.rj.gov.br/,,,,,
São João do Pau d'Alho,SP,49300,,www.paudalho.sp.gov.br/,,,,,
Paulicéia,SP,36406,,www.pauliceia.sp.gov.br/,,,,,
Paulínia,SP,36505,,www.paulinia.sp.gov.br/,,,,,
Paulistânia,SP,36570,,www.paulistania.sp.gov.br/,,,,,
Paulo de Faria,SP,36604,,www.paulodefaria.sp.gov.br/,,,,,
Pederneiras,SP,36703,,www.pederneiras.sp.gov.br/,,,,,
Pedra Bela,SP,36802,,www.pedrabela.sp.gov.br/,,,,,
Pedranópolis,SP,36901,,www.pedranopolis.sp.gov.br/,,,,,
Pedregulho,SP,37008,,www.pedregulho.sp.gov.br/,,,,,
Pedrinhas Paulista,SP,37156,,www.pedrinhaspaulista.sp.gov.br/,,,,,
Pedro de Toledo,SP,37206,,www.pedrodetoledo.sp.gov.br/,,,,,
Penápolis,SP,37305,,www.penapolis.sp.gov.br/,,,,,
Pereira Barreto,SP,37404,,www.pereirabarreto.sp.gov.br/,,,,,
Pereiras,SP,37503,,www.pereiras.sp.gov.br/,,,,,
Peruíbe,SP,37602,,www.peruibe.sp.gov.br/,,,,,
Piacatu,SP,37701,,www.piacatu.sp.gov.br/,,,,,
Piedade,SP,37800,,www.piedade.sp.gov.br/,,,,,
Pilar do Sul,SP,37909,,www.pilardosul.sp.gov.br/,,,,,
Pindamonhangaba,SP,38006,,www.pindamonhangaba.sp.gov.br/,,,,,
Pindorama,SP,38105,,www.pindorama.sp.gov.br/,,,,,
Espírito Santo do Pinhal,SP,15186,,www.pinhal.sp.gov.br/,,,,,
Pinhalzinho,SP,38204,,www.pinhalzinho.sp.gov.br/,,,,,
Pinheiral,RJ,3955,,www.pinheiral.rj.gov.br/,,,,,
Piquerobi,SP,38303,,www.piquerobi.sp.gov.br/,,,,,
Piquete,SP,38501,,www.piquete.sp.gov.br/,,,,,
Piracaia,SP,38600,,www.piracaia.sp.gov.br/,,,,,
Piracicaba,SP,38709,,www.piracicaba.sp.gov.br/,,,,,
Pirajuí,SP,38907,,www.pirajui.sp.gov.br/,,,,,
Pirangi,SP,39004,,www.pirangi.sp.gov.br/,,,,,
Pirapora do Bom Jesus,SP,39103,,www.piraporadobomjesus.sp.gov.br/,,,,,
Pirapozinho,SP,39202,,www.pirapozinho.sp.gov.br/,,,,,
Pirassununga,SP,39301,,www.pirassununga.sp.gov.br/,,,,,
Piratininga,SP,39400,,www.piratininga.sp.gov.br/,,,,,
Pitangueiras,SP,39509,,www.pitangueiras.sp.gov.br/,,,,,
Planalto,SP,39608,,www.planalto.sp.gov.br/,,,,,
Platina,SP,39707,,www.platina.sp.gov.br/,,,,,
Aparecida d'Oeste,SP,2606,,www.pmaparecidadoeste.sp.gov.br/,,,,,
Barra do Piraí,RJ,308,,www.pmbp.rj.gov.br/,,,,,
Engenheiro Coelho,SP,15152,,www.pmengenheirocoelho.sp.gov.br/,,,,,
Estrela d'Oeste,SP,15202,,www.pmestrela.sp.gov.br/,,,,,
Itatinga,SP,23503,,www.pmitatinga.sp.gov.br/,,,,,
Mogi das Cruzes,SP,30607,,www.pmmc.com.br/,,,,,
Miguel Pereira,RJ,2908,,www.pmmp.rj.gov.br/,,,,,
Óleo,SP,33809,,www.pmoleo.sp.gov.br/,,,,,
Parati,RJ,3807,,www.pmparaty.rj.gov.br/,,,,,
Porto Acre,AC,807,,www.pmportoacre.com.br/,,,,,
Porto Walter,AC,393,,www.pmportoacre.com.br/,,,,,
Santo Antônio de Posse,SP,48005,,www.pmsaposse.sp.gov.br/,,,,,
Santa Maria Madalena,RJ,4607,,www.pmsmm.rj.gov.br/,,,,,
São Pedro da Aldeia,RJ,5208,,www.pmspa.rj.gov.br/,,,,,
Taiaçu,SP,53104,,www.pmtaiacu.sp.gov.br/,,,,,
Poloni,SP,39905,,www.poloni.sp.gov.br/,,,,,
Pompéia,SP,40002,,www.pompeia.sp.gov.br/,,,,,
Pongaí,SP,40101,,www.pongai.sp.gov.br/,,,,,
Pontal,SP,40200,,www.pontal.sp.gov.br/,,,,,
Pontalinda,SP,40259,,www.pontalinda.sp.gov.br/,,,,,
Pontes Gestal,SP,40309,,www.pontesgestal.sp.gov.br/,,,,,
Populina,SP,40408,,www.populina.sp.gov.br/,,,,,
Porangaba,SP,40507,,www.porangaba.sp.gov.br/,,,,,
Porciúncula,RJ,4102,,www.porciuncula.rj.gov.br/,,,,,
Porto Feliz,SP,40606,,www.portofeliz.sp.gov.br/,,,,,
Porto Ferreira,SP,40705,,www.portoferreira.sp.gov.br/,,,,,
Porto Real,RJ,4110,,www.portoreal.rj.gov.br/,,,,,
Potim,SP,40754,,www.potim.sp.gov.br/,,,,,
Potirendaba,SP,40804,,www.potirendaba.sp.gov.br/,,,,,
Pracinha,SP,40853,,www.pracinha.sp.gov.br/,,,,,
Pradópolis,SP,40903,,www.pradopolis.sp.gov.br/,,,,,
Praia Grande,SP,41000,,www.praiagrande.sp.gov.br/,,,,,
Pratânia,SP,41059,,www.pratania.sp.gov.br/,,,,,
Avaré,SP,4503,,www.prefeituraavare.sp.gov.br/,,,,,
Cambuci,RJ,902,,www.prefeituradecambuci.rj.gov.br/,,,,,
Macuco,RJ,2452,,www.prefeituramacuco.rj.gov.br/,,,,,
São João de Meriti,RJ,5109,,www.prefeiturasaojoaodemeriti.rj.gov.br/,,,,,
Garça,SP,16705,,www.prefgarca.sp.gov.br/,,,,,
Nova Independência,SP,33205,,www.prefindependencia.com.br/,,,,,
Presidente Alves,SP,41109,,www.presidentealves.sp.gov.br/,,,,,
Presidente Bernardes,SP,41208,,www.presidentebernardes.sp.gov.br/,,,,,
Presidente Epitácio,SP,41307,,www.presidenteepitacio.sp.gov.br/,,,,,
Presidente Prudente,SP,41406,,www.presidenteprudente.sp.gov.br/,,,,,
Presidente Venceslau,SP,41505,,www.presidentevenceslau.sp.gov.br/,,,,,
Promissão,SP,41604,,www.promissao.sp.gov.br/,,,,,
Quadra,SP,41653,,www.quadra.sp.gov.br/,,,,,
Quatá,SP,41703,,www.quata.sp.gov.br/,,,,,
Quatis,RJ,4128,,www.quatis.rj.gov.br/,,,,,
Queimados,RJ,4144,,www.queimados.rj.gov.br/,,,,,
Queiroz,SP,41802,,www.queiroz.sp.gov.br/,,,,,
Queluz,SP,41901,,www.queluz.sp.gov.br/,,,,,
Quintana,SP,42008,,www.quintana.sp.gov.br/,,,,,
Quissamã,RJ,4151,,www.quissama.rj.gov.br/,,,,,
Redenção da Serra,SP,42305,,www.redencaodaserra.sp.gov.br/,,,,,
Regente Feijó,SP,42404,,www.regentefeijo.sp.gov.br/,,,,,
Registro,SP,42602,,www.registro.sp.gov.br/,,,,,
Resende,RJ,4201,,www.resende.rj.gov.br/,,,,,
Restinga,SP,42701,,www.restinga.sp.gov.br/,,,,,
Ribeira,SP,42800,,www.ribeira.sp.gov.br/,,,,,
Ribeirão Bonito,SP,42909,,www.ribeiraobonito.sp.gov.br/,,,,,
Ribeirão Branco,SP,43006,,www.ribeiraobranco.sp.gov.br/,,,,,
Ribeirão Corrente,SP,43105,,www.ribeiraocorrente.sp.gov.br/,,,,,
Ribeirão dos Índios,SP,43238,,www.ribeiraodosindios.sp.gov.br/,,,,,
Ribeirão do Sul,SP,43204,,www.ribeiraodosul.sp.gov.br/,,,,,
Ribeirão Grande,SP,43253,,www.ribeiraogrande.sp.gov.br/,,,,,
Ribeirão Pires,SP,43303,,www.ribeiraopires.sp.gov.br/,,,,,
Ribeirão Preto,SP,43402,,www.ribeiraopreto.sp.gov.br/,,,,,
Rifaina,SP,43600,,www.rifaina.sp.gov.br/,,,,,
Rincão,SP,43709,,www.rincao.sp.gov.br/,,,,,
Rinópolis,SP,43808,,www.rinopolis.sp.gov.br/,,,,,
Rio Bonito,RJ,4300,,www.riobonito.rj.gov.br/,,,,,
Rio Claro,RJ,4409,,www.rioclaro.rj.gov.br/,,,,,
Rio Claro,SP,43907,,www.rioclaro.sp.gov.br/,,,,,
Rio das Flores,RJ,4508,,www.riodasflores.rj.gov.br/,,,,,
Rio das Ostras,RJ,4524,,www.riodasostras.rj.gov.br/,,,,,
Rio das Pedras,SP,44004,,www.riodaspedras.sp.gov.br/,,,,,
Rio Grande da Serra,SP,44103,,www.riograndedaserra.sp.gov.br/,,,,,
Riolândia,SP,44202,,www.riolandia.sp.gov.br/,,,,,
Riversul,SP,43501,,www.riversul.sp.gov.br/,,,,,
Rosana,SP,44251,,www.rosana.sp.gov.br/,,,,,
Roseira,SP,44301,,www.roseira.sp.gov.br/,,,,,
