NomeMun,UF,CodMun,match_var,title,uf,uf_code,uf_code_multi,rua_camara,numero_camara,cep,email,url_interlegis,url_legislativo
São Miguel do Guaporé,RO,1100320,São Miguel do Guaporé_RO,Câmara Municipal de São Miguel do Guaporé,RO,11,11000000,Avenida Capitão Silvio 1446,,76932-000,cmsaomiguel@outlook.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3668%0A,http://www.saomigueldoguapore.ro.leg.br
Nova Mamoré,RO,1100338,Nova Mamoré_RO,Câmara Municipal de Nova Mamoré,RO,11,11000000,Av. Desidério Domingos Lopes,3040,76857-000,camaramunicipaldenovamamore@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3964,http://www.camaradenovamamore.ro.gov.br
Alto Paraíso,RO,1100403,Alto Paraíso_RO,Câmara Municipal de Alto Paraíso,RO,11,11000000,Rua Paulo VI,3726,76862-000,contato@camaradealtoparaiso.ro.gov.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3670,http://www.camap.ro.gov.br
Buritis,RO,1100452,Buritis_RO,Câmara Municipal de Buritis,RO,11,11000000,Rua Cacuau n° 1640,1640,76880-000,cmbdeburitis@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3959,
Novo Horizonte do Oeste,RO,1100502,Novo Horizonte do Oeste_RO,Câmara Municipal de Novo Horizonte do Oeste,RO,11,11000000,Rua das Flores,5343,76956-000,cmnovohorizonte@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3909,http://www.cmnovohorizonte.ro.gov.br
Cacaulândia,RO,1100601,Cacaulândia_RO,Câmara Municipal de Cacaulândia,RO,11,11000000,Rua João Boava,1424,78944-000,cmc.cacau@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3672,http://www.cacaulandia.ro.leg.br
Campo Novo de Rondônia,RO,1100700,Campo Novo de Rondônia_RO,Câmara Municipal de Campo Novo de Rondônia,RO,11,11000000,Avenida Tancredo Neves,2070,76887-000,camaracamponovoro@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3960,http://www.camponovoderondonia.ro.leg.br
Candeias do Jamari,RO,1100809,Candeias do Jamari_RO,Câmara Municipal de Candeias do Jamari,RO,11,11000000,Av. Tancredo Neves,,76860-000,camaradecandeias01@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3961,http://www.candeiasdojamari.ro.leg.br
Castanheiras,RO,1100908,Castanheiras_RO,Câmara Municipal de Castanheiras,RO,11,11000000,Rua Jacarandá,2100,78992-000,legislativocastanheiras@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3903,
Chupinguaia,RO,1100924,Chupinguaia_RO,Câmara Municipal de Chupinguaia,RO,11,11000000,Av. Osvaldo Bertozzi,2780,76990-000,camara_chupinguaia@hotmail.com.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3966,http://www.camaradechupinguaia.ro.gov.br
Cujubim,RO,1100940,Cujubim_RO,Câmara Municipal de Cujubim,RO,11,11000000,Av. Condor,1233,76864-000,camaracujubim@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3962,http://www.camaradecujubim.ro.gov.br
Governador Jorge Teixeira,RO,1101005,Governador Jorge Teixeira_RO,Câmara Municipal de Governador Jorge Teixeira,RO,11,11000000,Rua Guariguara,1043,76898-000,camara.gjt@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3916,
Itapuã do Oeste,RO,1101104,Itapuã do Oeste_RO,Câmara Municipal de Itapuã do Oeste,RO,11,11000000,Avenida Presidente Médici,1280,76861-000,admincamara@camaraitapoadooeste.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3963,http://www.camaradeitapuadooeste.ro.gov.br
Ministro Andreazza,RO,1101203,Ministro Andreazza_RO,Câmara Municipal de Ministro Andreazza,RO,11,11000000,Rua Espírito Santo,5501,76919-000,cmma2008@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3908,http://www.cmandreazza.ro.gov.br
Mirante da Serra,RO,1101302,Mirante da Serra_RO,Câmara Municipal de Mirante da Serra,RO,11,11000000,Rua Marechal Rondon n° 2413,2413,76926-000,diretorgeral@camaramirantedaserra.ro.gov.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3919,http://www.camaramirantedaserra.ro.gov.br
Monte Negro,RO,1101401,Monte Negro_RO,Câmara Municipal de Monte Negro,RO,11,11000000,Rua Justino Luiz Ronconi,2267,76888-000,poderlegislativomn@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3706,http://www.camarademontenegro.ro.gov.br
Nova União,RO,1101435,Nova União_RO,Câmara Municipal de Nova União,RO,11,11000000,Rua Duque de Caxias,1013,76924-000,brunoalenk@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3920,
Parecis,RO,1101450,Parecis_RO,Câmara Municipal de Parecis,RO,11,11000000,Rua Judite Jesus de Oliveira,,76979-000,camaramunicipal_parecis1@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3967,
Pimenteiras do Oeste,RO,1101468,Pimenteiras do Oeste_RO,Câmara Municipal de Pimenteiras do Oeste,RO,11,11000000,Rua  Rio Grande do Norte nº 362,362,76999-000,camaradepimenteiras@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3910,
Primavera de Rondônia,RO,1101476,Primavera de Rondônia_RO,Câmara Municipal de Primavera de Rondônia,RO,11,11000000,Av. Jorge Teixeira,,76976-000,camaraprimavera@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3969,
São Francisco do Guaporé,RO,1101492,São Francisco do Guaporé_RO,Câmara Municipal de São Francisco do Guaporé,RO,11,11000000,Rua Rondônia Alto ,,78973-000,cmsfg@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3915,
Seringueiras,RO,1101500,Seringueiras_RO,Câmara Municipal de Seringueiras,RO,11,11000000,Av. Capitão Silvio s/n,,76934-000,cmseringueiras@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3669,
Teixeirópolis,RO,1101559,Teixeirópolis_RO,Câmara Municipal de Teixeirópolis,RO,11,11000000,Rua Nova Esperança,,76928-000,camaradeteixeiropolis@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3955,
Theobroma,RO,1101609,Theobroma_RO,Câmara Municipal de Theobroma,RO,11,11000000,Avenida 13 de Fevereiro,1358,76866-000,camara@theobroma.ro.gov.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3956,
Urupá,RO,1101708,Urupá_RO,Câmara Municipal de Urupá,RO,11,11000000,Rua Otávio Pedro de  Oliveira com a Avenida Moacir de Paula Vieira nº 5049,5049,76929-000,camaraurupa@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3957,http://www.camaradeurupa.ro.gov.br
Vale do Anari,RO,1101757,Vale do Anari_RO,Câmara Municipal de Vale do Anari,RO,11,11000000,Rua Boa Vista 2678,,76867-000,camaravaledoanari@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3898,
Vale do Paraíso,RO,1101807,Vale do Paraíso_RO,Câmara Municipal de Vale do Paraíso,RO,11,11000000,Avenida Paraiso,2621,76923-000,camaramvp@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=3958,
Acrelândia,AC,1200013,Acrelândia_AC,Câmara Municipal de Acrelândia,AC,12,12000000,Av. Paraná,360,69945-000,,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=230,http://cma.ac.gov.br
Assis Brasil,AC,1200054,Assis Brasil_AC,Câmara Municipal de Assis Brasil,AC,12,12000000,R. Raimundo Chaar,372,69935-000,cmab76@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=221,
Brasiléia,AC,1200104,Brasiléia_AC,Câmara Municipal de Brasiléia,AC,12,12000000,Avenida Geny Assis,397,69932-000,cmbbrasileia@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=222,
Bujari,AC,1200138,Bujari_AC,Câmara Municipal de Bujari,AC,12,12000000,R. José Pereira Gurgel,,69926-000,adajane2013@gmais.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=231,
Capixaba,AC,1200179,Capixaba_AC,Câmara Municipal de Capixaba,AC,12,12000000,Av. Governador Edmundo Pinto,1240,69922-000,cpx.camara@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=232,http://www.capixaba.ac.leg.br
Cruzeiro do Sul,AC,1200203,Cruzeiro do Sul_AC,Câmara Municipal de Cruzeiro do Sul,AC,12,12000000,Av. Coronoel. Mâncio Lima,343,69980-000,camaraczs_ac@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=225,
Epitaciolândia,AC,1200252,Epitaciolândia_AC,Câmara Municipal de Epitaciolândia,AC,12,12000000,Av. Santos Dumont,1230,69934-000,epitac@yahoo.com.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=223,
Feijó,AC,1200302,Feijó_AC,Câmara Municipal de Feijó,AC,12,12000000,Av. Marechal Deodoro,1338,69960-000,camarafeijo@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=240,http://cmfj.ac.gov.br
Jordão,AC,1200328,Jordão_AC,Câmara Municipal de Jordão,AC,12,12000000,R. Francisco Dias,,69975-000,camara.mj.17@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=241,
Mâncio Lima,AC,1200336,Mâncio Lima_AC,Câmara Municipal de Mâncio Lima,AC,12,12000000,Av. Japiim,1260,69990-000,camaramanciolima@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=226,http://www.manciolima.ac.leg.br
Manoel Urbano,AC,1200344,Manoel Urbano_AC,Câmara Municipal de Manoel Urbano,AC,12,12000000,Av. Valério Caldas de Magalhães,,69950-000,camaramunicipalmu@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=237,
Marechal Thaumaturgo,AC,1200351,Marechal Thaumaturgo_AC,Câmara Municipal de Marechal Thaumaturgo,AC,12,12000000,Pç. Odon do Vale,,69983-000,camarathau@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=227,
Plácido de Castro,AC,1200385,Plácido de Castro_AC,Câmara Municipal de Plácido de Castro,AC,12,12000000,Rua Epitácio Pessoa,426,69928-000,camaramunicipalacre@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=233,
Porto Walter,AC,1200393,Porto Walter_AC,Câmara Municipal de Porto Walter,AC,12,12000000,Rua Alfredo Sales,,69982-000,ivodiaspw@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=228,
Rio Branco,AC,1200401,Rio Branco_AC,Câmara Municipal de Rio Branco,AC,12,12000000,Rua 24 de Janeiro,53,69905-596,camara@riobranco.ac.leg.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=235,http://riobranco.ac.leg.br
Rodrigues Alves,AC,1200427,Rodrigues Alves_AC,Câmara Municipal de Rodrigues Alves,AC,12,12000000,Av. Presidente Vargas,423,69985-000,camararodriguesalves@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=229,
Santa Rosa do Purus,AC,1200435,Santa Rosa do Purus_AC,Câmara Municipal de Santa Rosa do Purus,AC,12,12000000,Rua Profiro de Moura,,69955-000,camaramunicipaldesantarosa@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=238,
Senador Guiomard,AC,1200450,Senador Guiomard_AC,Câmara Municipal de Senador Guiomard,AC,12,12000000,Rua Três de Maio,1637,69925-000,camarasg@uol.com.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=236,http://www.camarasg.com.br
Sena Madureira,AC,1200500,Sena Madureira_AC,Câmara Municipal de Sena Madureira,AC,12,12000000,Av. Avelino Chaves,830,69940-000,camaramunicipalsmac@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=239,http://cmsm.ac.gov.br
Tarauacá,AC,1200609,Tarauacá_AC,Câmara Municipal de Tarauacá,AC,12,12000000,Rua Cel. Juvêncio de Menezes,396,69970-000,camaratk@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=242,
Porto Acre,AC,1200807,Porto Acre_AC,Câmara Municipal de Porto Acre,AC,12,12000000,Rodovia AC - 10,,69927-000,cmpaportoacre@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=234,http://cmpa.ac.gov.br
Alvarães,AM,1300029,Alvarães_AM,Câmara Municipal de Alvarães,AM,13,13000000, Estrada Alvarães Nogueira,946,69540-000,camaraalvaraes@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=125,
Amaturá,AM,1300060,Amaturá_AM,Câmara Municipal de Amaturá,AM,13,13000000,Avenida,1,69620-100,,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=146,
Anamã,AM,1300086,Anamã_AM,Câmara Municipal de Anamã,AM,13,13000000,Rua Alvaro Maia,,69445-000,camaramunicipal.anama@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=432,
Anori,AM,1300102,Anori_AM,Câmara Municipal de Anori,AM,13,13000000,Avenida Professor Januário Nazaré,,69440-000,,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=433,
Apuí,AM,1300144,Apuí_AM,Câmara Municipal de Apuí,AM,13,13000000,AV. 13 de Novembro,305,69265-000,cm-apui@bol.com.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=482,
Atalaia do Norte,AM,1300201,Atalaia do Norte_AM,Câmara Municipal de Atalaia do Norte,AM,13,13000000,Rua Augusto Luzeiro,,69650-000,,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=147,
Autazes,AM,1300300,Autazes_AM,Câmara Municipal de Autazes,AM,13,13000000,Rua Raimundo Cavalcante,508,69240-000,emilsonautazes@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=487,
Barcelos,AM,1300409,Barcelos_AM,Câmara Municipal de Barcelos,AM,13,13000000,Av Darci Fernandes Pereira,273,69700-000,camarabarcelos@uol.com.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=119,
Barreirinha,AM,1300508,Barreirinha_AM,Câmara Municipal de Barreirinha,AM,13,13000000,Rodovia BH1 Nilo Pereira,985,69160-000,,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=523,
Benjamin Constant,AM,1300607,Benjamin Constant_AM,Câmara Municipal de Benjamin Constant,AM,13,13000000,Avenida Castelo Branco,951,69630-000,renato.teixeirabc@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=148,
Beruri,AM,1300631,Beruri_AM,Câmara Municipal de Beruri,AM,13,13000000,Rua Presidente Costa e Silva,125,69430-000,,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=434,
Boa Vista do Ramos,AM,1300680,Boa Vista do Ramos_AM,Câmara Municipal de Boa Vista do Ramos,AM,13,13000000,Avenida Manaus,381,69195-000,,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=524,
Boca do Acre,AM,1300706,Boca do Acre_AM,Câmara Municipal de Boca do Acre,AM,13,13000000,Avenida Cecília Leite,88,69850-000,camarabocadoacre@live.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=341,
Borba,AM,1300805,Borba_AM,Câmara Municipal de Borba,AM,13,13000000,Av. Silvério Neris,245,69200-000,camaraborba@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=483,
Caapiranga,AM,1300839,Caapiranga_AM,Câmara Municipal de Caapiranga,AM,13,13000000,Rua Antônio Macena,,69425-000,cmcaapiranga@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=435,
Canutama,AM,1300904,Canutama_AM,Câmara Municipal de Canutama,AM,13,13000000,Avenida Botinele,400,69820-000,camaracanutama@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=116,
Carauari,AM,1301001,Carauari_AM,Câmara Municipal de Carauari,AM,13,13000000,Rua Anastácio Cavalcante,811,69500-000,camaradecarauari@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=445%0A,
Carauari,AM,1301001,Carauari_AM,Câmara Municipal de Carauari,AM,13,13000000,Rua Anastácio Cavalcante,811,69500-000,camaradecarauari@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=445,
Careiro,AM,1301100,Careiro_AM,Câmara Municipal de Careiro,AM,13,13000000,Rua Manaquiri,346,69250-000,camara_municipal_careiro-am@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=488,
Coari,AM,1301209,Coari_AM,Câmara Municipal de Coari,AM,13,13000000,Travessa Raimundo Mota,192,69460-000,,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=436,
Codajás,AM,1301308,Codajás_AM,Câmara Municipal de Codajás,AM,13,13000000,Rua 05 de setembro,,69450-000,camaracodajas@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=437,
Eirunepé,AM,1301407,Eirunepé_AM,Câmara Municipal de Eirunepé,AM,13,13000000,Rua Santa Terezinha,214,69880-000,,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=446,
Envira,AM,1301506,Envira_AM,Câmara Municipal de Envira,AM,13,13000000,Rua 5 de Setembro,32,69870-000,otavio.neto123@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=447,
Fonte Boa,AM,1301605,Fonte Boa_AM,Câmara Municipal de Fonte Boa,AM,13,13000000,Avenida Francisco Pereira de Souza,,69670-000,vereadorsantao@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=149,
Guajará,AM,1301654,Guajará_AM,Câmara Municipal de Guajará,AM,13,13000000,Avenida Justino Bernades,,69895-000,,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=448,
Humaitá,AM,1301704,Humaitá_AM,Câmara Municipal de Humaitá,AM,13,13000000,Rua Benjamin Constant,46,69800-000,cmhumaita@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=484,
Ipixuna,AM,1301803,Ipixuna_AM,Câmara Municipal de Ipixuna,AM,13,13000000,Rua José Raimundo maciel,116,69890-000,camara@camaraipx.com.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=479,
Iranduba,AM,1301852,Iranduba_AM,Câmara Municipal de Iranduba,AM,13,13000000,Praça dos Três Poderes,60,69415-000,cm_iranduba@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=490,
Itacoatiara,AM,1301902,Itacoatiara_AM,Câmara Municipal de Itacoatiara,AM,13,13000000,Avenida Parque,1452,69101-053,dg@cmi.am.gov.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=438,http://www.camaracidada.am.gov.br
Itamarati,AM,1301951,Itamarati_AM,Câmara Municipal de Itamarati,AM,13,13000000,Rua Boa Vista,89,69510-000,,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=480,
Itapiranga,AM,1302009,Itapiranga_AM,Câmara Municipal de Itapiranga,AM,13,13000000,Avenida Presidente Getúlio Vargas,183,69120-000,,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=439,
Japurá,AM,1302108,Japurá_AM,Câmara Municipal de Japurá,AM,13,13000000,Travessa São Francisco,,69495-000,,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=443,
Juruá,AM,1302207,Juruá_AM,Câmara Municipal de Juruá,AM,13,13000000,Rua Francisco de Paula,85,69520-000,,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=481,
Jutaí,AM,1302306,Jutaí_AM,Câmara Municipal de Jutaí,AM,13,13000000,Rua São Francisco,390,69660-000,,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=336,
Lábrea,AM,1302405,Lábrea_AM,Câmara Municipal de Lábrea,AM,13,13000000,Av. Getúlio Vargas,150,69830-000,camaradelabrea@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=117,
Manacapuru,AM,1302504,Manacapuru_AM,Câmara Municipal de Manacapuru,AM,13,13000000,Av. Eduardo Ribeiro,1161,69400-901,legislativomanaca_1948@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=491,http://www.manacapuru.am.leg.br
